Release_Date,Rank,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,USD_Profit,Decade
1982-08-13,4116,Fast Times at Ridgemont High,4500000,27092880,27092880,22592880,1980
1982-08-13,4525,Friday the 13th Part 3,2250000,36690067,36690067,34440067,1980
1982-08-20,4017,The Beastmaster,5000000,10751126,10751126,5751126,1980
1982-08-20,4318,Class of 1984,3250000,6965361,6965361,3715361,1980
1982-08-27,4041,Jekyll and Hyde... Together Again,5000000,3707583,3707583,-1292417,1980
1982-09-07,2688,Tron,17000000,26918576,26918576,9918576,1980
1982-09-17,1158,Inchon,46000000,4408636,4408636,-41591364,1980
1982-10-02,3179,Das Boot,12000000,84970337,11487676,72970337,1980
1982-10-11,3616,Creepshow,8000000,20036244,20036244,12036244,1980
1982-10-22,2968,First Blood,14000000,125212904,47212904,111212904,1980
1982-10-22,4475,Halloween 3: Season of the Witch,2500000,14400000,14400000,11900000,1980
1982-11-06,3294,ET: The Extra-Terrestrial,10500000,792965326,435110554,782465326,1980
1982-11-19,4808,Q,1200000,255000,255000,-945000,1980
1982-12-02,3099,La Guerre du feu,12500000,20959585,20959585,8459585,1980
1982-12-17,2790,Tootsie,15000000,177200000,177200000,162200000,1980
1983-01-01,5131,E tu vivrai nel terrore - L'aldilà,400000,126387,126387,-273613,1980
1983-02-18,3300,Lovesick,10100000,10143618,10143618,43618,1980
1983-03-06,3129,WarGames,12000000,74433837,74433837,62433837,1980
1983-03-25,3350,The Outsiders,10000000,25697647,25697647,15697647,1980
1983-04-02,3903,Videodrome,5952000,2120439,2120439,-3831561,1980
1983-04-15,3711,Flashdance,7000000,201463574,90463574,194463574,1980
1983-04-15,4012,Lone Wolf McQuade,5000000,12232628,12232628,7232628,1980
1983-04-15,5142,The Evil Dead,375000,29400000,2400000,29025000,1980
1983-05-25,1657,Star Wars Ep. VI: Return of the Jedi,32500000,572705079,309205079,540205079,1980
1983-06-17,1437,Superman III,39000000,59950623,59950623,20950623,1980
1983-06-24,3342,Twilight Zone: The Movie,10000000,29500000,29500000,19500000,1980
1983-07-10,1493,Never Say Never Again,36000000,160000000,55500000,124000000,1980
